group,set,method,scorer,r,cost,len,rouge1_P,rouge1_R,rouge2_P,rouge2_R,idxs
D0901,A,greedy1,am,0,102,3,0.4719,0.4599,0.1933,0.1871,105:96:95
D0901,A,greedy1,hm,0,96,3,0.4597,0.4257,0.2201,0.2027,105:96:32
D0901,A,greedy1,R2,0,96,3,0.4597,0.4257,0.2201,0.2027,105:96:32
D0901,A,greedy1,am,0.1,102,3,0.4719,0.4599,0.1933,0.1871,105:96:95
D0901,A,greedy1,hm,0.1,96,3,0.4597,0.4257,0.2201,0.2027,105:96:32
D0901,A,greedy1,R2,0.1,96,3,0.4597,0.4257,0.2201,0.2027,105:96:32
D0901,A,greedy1,am,0.3,102,3,0.4719,0.4599,0.1933,0.1871,105:96:95
D0901,A,greedy1,hm,0.3,96,3,0.4597,0.4257,0.2201,0.2027,105:96:32
D0901,A,greedy1,R2,0.3,96,3,0.4597,0.4257,0.2201,0.2027,105:96:32
D0901,A,greedy1,am,0.4,102,3,0.4719,0.4599,0.1933,0.1871,105:96:95
D0901,A,greedy1,hm,0.4,96,3,0.4597,0.4257,0.2201,0.2027,105:96:32
D0901,A,greedy1,R2,0.4,96,3,0.4597,0.4257,0.2201,0.2027,105:96:32
D0901,A,greedy1,am,0.5,96,3,0.4597,0.4257,0.2201,0.2027,105:96:32
D0901,A,greedy1,hm,0.5,96,3,0.4597,0.4257,0.2201,0.2027,105:96:32
D0901,A,greedy1,R2,0.5,96,3,0.4597,0.4257,0.2201,0.2027,105:96:32
D0901,A,greedy1,am,0.6,96,3,0.4597,0.4257,0.2201,0.2027,105:96:32
D0901,A,greedy1,hm,0.6,96,3,0.4597,0.4257,0.2201,0.2027,105:96:32
D0901,A,greedy1,R2,0.6,96,3,0.4597,0.4257,0.2201,0.2027,105:96:32
D0910,A,greedy1,am,0,101,3,0.4343,0.4348,0.1607,0.1606,43:62:59
D0910,A,greedy1,hm,0,104,3,0.3971,0.4097,0.1658,0.1711,43:0:29
D0910,A,greedy1,R2,0,98,3,0.4297,0.4170,0.1711,0.1656,62:43:39
D0910,A,greedy1,am,0.1,101,3,0.4343,0.4348,0.1607,0.1606,43:62:59
D0910,A,greedy1,hm,0.1,98,3,0.4297,0.4170,0.1711,0.1656,62:43:39
D0910,A,greedy1,R2,0.1,98,3,0.4297,0.4170,0.1711,0.1656,62:43:39
D0910,A,greedy1,am,0.3,101,3,0.4343,0.4348,0.1607,0.1606,62:43:59
D0910,A,greedy1,hm,0.3,93,3,0.5027,0.4728,0.2092,0.1960,62:0:21
D0910,A,greedy1,R2,0.3,93,3,0.5027,0.4728,0.2092,0.1960,62:0:21
D0910,A,greedy1,am,0.4,95,3,0.5079,0.4875,0.1941,0.1855,62:60:0
D0910,A,greedy1,hm,0.4,93,3,0.5027,0.4728,0.2092,0.1960,62:0:21
D0910,A,greedy1,R2,0.4,93,3,0.5027,0.4728,0.2092,0.1960,62:0:21
D0910,A,greedy1,am,0.5,90,3,0.5083,0.4623,0.2107,0.1907,62:3:0
D0910,A,greedy1,hm,0.5,93,3,0.5027,0.4728,0.2092,0.1960,62:0:21
D0910,A,greedy1,R2,0.5,93,3,0.5027,0.4728,0.2092,0.1960,62:0:21
D0910,A,greedy1,am,0.6,90,3,0.5083,0.4623,0.2107,0.1907,62:3:0
D0910,A,greedy1,hm,0.6,93,3,0.5027,0.4728,0.2092,0.1960,62:0:21
D0910,A,greedy1,R2,0.6,93,3,0.5027,0.4728,0.2092,0.1960,62:0:21
D0903,B,greedy1,am,0,98,3,0.5027,0.4858,0.2097,0.2051,130:83:68
D0903,B,greedy1,hm,0,98,3,0.5027,0.4858,0.2097,0.2051,130:83:68
D0903,B,greedy1,R2,0,98,3,0.5027,0.4858,0.2097,0.2051,130:83:68
D0903,B,greedy1,am,0.1,98,3,0.5027,0.4858,0.2097,0.2051,130:83:68
D0903,B,greedy1,hm,0.1,98,3,0.5027,0.4858,0.2097,0.2051,130:83:68
D0903,B,greedy1,R2,0.1,98,3,0.5027,0.4858,0.2097,0.2051,130:83:68
D0903,B,greedy1,am,0.3,98,3,0.5027,0.4858,0.2097,0.2051,130:83:68
D0903,B,greedy1,hm,0.3,98,3,0.5027,0.4858,0.2097,0.2051,130:83:68
D0903,B,greedy1,R2,0.3,98,3,0.5027,0.4858,0.2097,0.2051,130:83:68
D0903,B,greedy1,am,0.4,98,3,0.5027,0.4858,0.2097,0.2051,130:83:68
D0903,B,greedy1,hm,0.4,98,3,0.5027,0.4858,0.2097,0.2051,130:83:68
D0903,B,greedy1,R2,0.4,103,4,0.4665,0.4620,0.2161,0.2125,130:83:154:166
D0903,B,greedy1,am,0.5,98,3,0.5027,0.4858,0.2097,0.2051,130:83:68
D0903,B,greedy1,hm,0.5,98,3,0.5027,0.4858,0.2097,0.2051,130:83:68
D0903,B,greedy1,R2,0.5,91,3,0.5000,0.4391,0.2294,0.2002,130:83:154
D0903,B,greedy1,am,0.6,84,3,0.5244,0.4454,0.2006,0.1751,92:83:68
D0903,B,greedy1,hm,0.6,98,3,0.5027,0.4858,0.2097,0.2051,130:83:68
D0903,B,greedy1,R2,0.6,91,3,0.5000,0.4391,0.2294,0.2002,130:83:154
D0901,B,greedy1,am,0,103,3,0.3975,0.3909,0.0934,0.0918,72:65:89
D0901,B,greedy1,hm,0,104,3,0.4282,0.4252,0.1500,0.1489,94:65:153
D0901,B,greedy1,R2,0,104,3,0.4282,0.4252,0.1500,0.1489,94:65:153
D0901,B,greedy1,am,0.1,104,3,0.4307,0.4274,0.1225,0.1212,72:94:81
D0901,B,greedy1,hm,0.1,104,3,0.4282,0.4252,0.1500,0.1489,94:65:153
D0901,B,greedy1,R2,0.1,96,3,0.4388,0.4053,0.1613,0.1488,94:65:81
D0901,B,greedy1,am,0.3,95,3,0.4624,0.4226,0.1576,0.1438,153:94:122
D0901,B,greedy1,hm,0.3,104,4,0.4490,0.4542,0.1691,0.1709,94:81:122:96
D0901,B,greedy1,R2,0.3,96,3,0.4388,0.4053,0.1613,0.1488,94:81:65
D0901,B,greedy1,am,0.4,95,3,0.4624,0.4226,0.1576,0.1438,153:94:122
D0901,B,greedy1,hm,0.4,104,4,0.4490,0.4542,0.1691,0.1709,94:81:122:96
D0901,B,greedy1,R2,0.4,104,4,0.4490,0.4542,0.1691,0.1709,94:81:122:96
D0901,B,greedy1,am,0.5,99,4,0.4714,0.4443,0.1605,0.1510,153:81:94:109
D0901,B,greedy1,hm,0.5,104,4,0.4490,0.4542,0.1691,0.1709,94:81:122:96
D0901,B,greedy1,R2,0.5,104,4,0.4490,0.4542,0.1691,0.1709,94:81:96:122
D0901,B,greedy1,am,0.6,99,4,0.4714,0.4443,0.1605,0.1510,81:153:94:109
D0901,B,greedy1,hm,0.6,104,4,0.4490,0.4542,0.1691,0.1709,81:94:96:122
D0901,B,greedy1,R2,0.6,104,4,0.4490,0.4542,0.1691,0.1709,94:81:96:122
D0908,B,greedy1,am,0,101,5,0.5700,0.5603,0.2475,0.2435,80:63:22:43:39
D0908,B,greedy1,hm,0,104,5,0.5194,0.5259,0.2574,0.2608,80:63:8:43:66
D0908,B,greedy1,R2,0,104,5,0.5194,0.5259,0.2574,0.2608,80:63:8:43:66
D0908,B,greedy1,am,0.1,101,5,0.5700,0.5603,0.2475,0.2435,80:63:22:43:39
D0908,B,greedy1,hm,0.1,104,5,0.5194,0.5259,0.2574,0.2608,80:63:8:43:66
D0908,B,greedy1,R2,0.1,104,5,0.5194,0.5259,0.2574,0.2608,80:63:8:43:66
D0908,B,greedy1,am,0.3,91,4,0.6111,0.5407,0.2753,0.2435,63:80:22:43
D0908,B,greedy1,hm,0.3,91,4,0.5797,0.5186,0.2861,0.2559,63:80:8:43
D0908,B,greedy1,R2,0.3,91,4,0.5797,0.5186,0.2861,0.2559,63:80:8:43
D0908,B,greedy1,am,0.4,91,4,0.6111,0.5407,0.2753,0.2435,63:80:22:43
D0908,B,greedy1,hm,0.4,91,4,0.5797,0.5186,0.2861,0.2559,63:80:8:43
D0908,B,greedy1,R2,0.4,91,4,0.5797,0.5186,0.2861,0.2559,63:80:8:43
D0908,B,greedy1,am,0.5,91,4,0.6111,0.5407,0.2753,0.2435,63:80:22:43
D0908,B,greedy1,hm,0.5,91,4,0.5797,0.5186,0.2861,0.2559,63:43:8:80
D0908,B,greedy1,R2,0.5,91,4,0.5797,0.5186,0.2861,0.2559,63:43:8:80
D0908,B,greedy1,am,0.6,91,4,0.6111,0.5407,0.2753,0.2435,63:43:22:80
D0908,B,greedy1,hm,0.6,91,4,0.5797,0.5186,0.2861,0.2559,63:43:8:80
D0908,B,greedy1,R2,0.6,91,4,0.5797,0.5186,0.2861,0.2559,63:43:8:80
D0910,B,greedy1,am,0,103,3,0.4035,0.4349,0.1375,0.1494,54:69:86
D0910,B,greedy1,hm,0,102,3,0.3980,0.4163,0.1469,0.1550,54:45:86
D0910,B,greedy1,R2,0,102,3,0.3980,0.4163,0.1469,0.1550,54:45:86
D0910,B,greedy1,am,0.1,103,3,0.4035,0.4349,0.1375,0.1494,54:69:86
D0910,B,greedy1,hm,0.1,102,3,0.3980,0.4163,0.1469,0.1550,54:45:86
D0910,B,greedy1,R2,0.1,102,3,0.4450,0.4760,0.1793,0.1936,54:18:11
D0910,B,greedy1,am,0.3,102,3,0.4450,0.4760,0.1793,0.1936,54:18:11
D0910,B,greedy1,hm,0.3,102,3,0.4450,0.4760,0.1793,0.1936,54:18:11
D0910,B,greedy1,R2,0.3,92,3,0.4478,0.4331,0.1972,0.1901,54:18:78
D0910,B,greedy1,am,0.4,102,3,0.4450,0.4760,0.1793,0.1936,54:18:11
D0910,B,greedy1,hm,0.4,92,3,0.4478,0.4331,0.1972,0.1901,54:18:78
D0910,B,greedy1,R2,0.4,103,4,0.4216,0.4573,0.1931,0.2097,18:78:63:44
D0910,B,greedy1,am,0.5,102,3,0.4450,0.4760,0.1793,0.1936,54:18:11
D0910,B,greedy1,hm,0.5,92,3,0.4478,0.4331,0.1972,0.1901,54:18:78
D0910,B,greedy1,R2,0.5,89,3,0.4375,0.4092,0.2098,0.1957,18:78:63
D0910,B,greedy1,am,0.6,102,3,0.4450,0.4760,0.1793,0.1936,54:18:11
D0910,B,greedy1,hm,0.6,89,3,0.4375,0.4092,0.2098,0.1957,18:78:63
D0910,B,greedy1,R2,0.6,86,4,0.4302,0.3938,0.2206,0.2021,18:78:19:55
D0908,A,greedy1,am,0,102,3,0.4688,0.4445,0.1658,0.1571,0:47:53
D0908,A,greedy1,hm,0,102,3,0.4688,0.4445,0.1658,0.1571,0:47:53
D0908,A,greedy1,R2,0,102,3,0.4688,0.4445,0.1658,0.1571,0:47:53
D0908,A,greedy1,am,0.1,102,3,0.4688,0.4445,0.1658,0.1571,0:47:53
D0908,A,greedy1,hm,0.1,102,3,0.4688,0.4445,0.1658,0.1571,0:47:53
D0908,A,greedy1,R2,0.1,102,3,0.4688,0.4445,0.1658,0.1571,0:47:53
D0908,A,greedy1,am,0.3,102,3,0.4688,0.4445,0.1658,0.1571,0:47:53
D0908,A,greedy1,hm,0.3,102,3,0.4688,0.4445,0.1658,0.1571,0:47:53
