group,set,method,scorer,r,cost,len,rouge1_P,rouge1_R,rouge2_P,rouge2_R,idxs
d30005,,greedy1,am,0,101,2,0.4075,0.3711,0.1237,0.1144,160:45
d30005,,greedy1,hm,0,104,3,0.3952,0.3788,0.1178,0.1148,160:141:66
d30005,,greedy1,R1,0,101,2,0.4075,0.3711,0.1237,0.1144,160:45
d30005,,greedy1,R2,0,96,2,0.4175,0.3697,0.1276,0.1148,160:141
d30005,,greedy1,am,0.1,104,3,0.3952,0.3788,0.1178,0.1148,160:141:66
d30005,,greedy1,hm,0.1,96,2,0.4175,0.3697,0.1276,0.1148,160:141
d30005,,greedy1,R1,0.1,104,3,0.3952,0.3788,0.1178,0.1148,160:141:66
d30005,,greedy1,R2,0.1,96,2,0.4175,0.3697,0.1276,0.1148,160:141
d30005,,greedy1,am,0.2,104,3,0.3952,0.3788,0.1178,0.1148,160:141:66
d30005,,greedy1,hm,0.2,96,2,0.4175,0.3697,0.1276,0.1148,160:141
d30005,,greedy1,R1,0.2,104,3,0.3952,0.3788,0.1178,0.1148,160:141:66
d30005,,greedy1,R2,0.2,103,4,0.4257,0.3921,0.1525,0.1424,160:90:163:40
d30005,,greedy1,am,0.3,96,2,0.4175,0.3697,0.1276,0.1148,160:141
d30005,,greedy1,hm,0.3,103,4,0.4363,0.4051,0.1510,0.1419,160:40:89:90
d30005,,greedy1,R1,0.3,104,3,0.3952,0.3788,0.1178,0.1148,160:141:66
d30005,,greedy1,R2,0.3,103,4,0.4257,0.3921,0.1525,0.1424,160:40:163:90
d30005,,greedy1,am,0.4,96,2,0.4175,0.3697,0.1276,0.1148,160:141
d30005,,greedy1,hm,0.4,103,4,0.4363,0.4051,0.1510,0.1419,160:40:89:90
d30005,,greedy1,R1,0.4,100,3,0.4356,0.4008,0.1350,0.1260,160:154:40
d30005,,greedy1,R2,0.4,102,4,0.4265,0.3953,0.1535,0.1438,160:40:157:20
d30005,,greedy1,am,0.5,102,4,0.4600,0.4183,0.1465,0.1350,160:40:65:120
d30005,,greedy1,hm,0.5,102,4,0.4265,0.3953,0.1535,0.1438,160:40:20:157
d30005,,greedy1,R1,0.5,100,3,0.4356,0.4008,0.1350,0.1260,160:154:40
d30005,,greedy1,R2,0.5,32,2,0.6061,0.1824,0.2656,0.0792,20:40
d30005,,greedy1,am,0.6,94,4,0.4761,0.4078,0.1505,0.1305,160:40:68:120
d30005,,greedy1,hm,0.6,32,2,0.6061,0.1824,0.2656,0.0792,20:40
d30005,,greedy1,R1,0.6,94,4,0.4761,0.4078,0.1505,0.1305,160:68:120:40
d30005,,greedy1,R2,0.6,32,2,0.6061,0.1824,0.2656,0.0792,20:40
d30005,,greedy1,am,0.8,32,2,0.6061,0.1824,0.2656,0.0792,20:40
d30005,,greedy1,hm,0.8,32,2,0.6061,0.1824,0.2656,0.0792,20:40
d30005,,greedy1,R1,0.8,32,2,0.6061,0.1824,0.2656,0.0792,20:40
d30005,,greedy1,R2,0.8,32,2,0.6061,0.1824,0.2656,0.0792,20:40
d31038,,greedy1,am,0,101,3,0.4825,0.4365,0.1439,0.1300,0:109:84
d31038,,greedy1,hm,0,104,3,0.4657,0.4271,0.1708,0.1551,122:109:14
d31038,,greedy1,R1,0,102,3,0.4875,0.4410,0.1389,0.1255,0:109:120
d31038,,greedy1,R2,0,104,4,0.4471,0.4170,0.1990,0.1847,14:61:31:35
d31038,,greedy1,am,0.1,101,3,0.4825,0.4365,0.1439,0.1300,0:109:84
d31038,,greedy1,hm,0.1,104,3,0.4657,0.4271,0.1708,0.1551,122:109:14
d31038,,greedy1,R1,0.1,102,3,0.4875,0.4410,0.1389,0.1255,0:109:120
d31038,,greedy1,R2,0.1,104,4,0.4471,0.4170,0.1990,0.1847,14:61:31:35
d31038,,greedy1,am,0.2,101,3,0.4825,0.4365,0.1439,0.1300,0:109:84
d31038,,greedy1,hm,0.2,99,4,0.4924,0.4379,0.1964,0.1743,14:109:105:110
d31038,,greedy1,R1,0.2,100,3,0.4899,0.4393,0.1352,0.1206,0:109:104
d31038,,greedy1,R2,0.2,100,4,0.4646,0.4143,0.1964,0.1759,14:117:105:29
d31038,,greedy1,am,0.3,101,3,0.4825,0.4365,0.1439,0.1300,109:0:84
d31038,,greedy1,hm,0.3,99,4,0.4924,0.4379,0.1964,0.1743,14:109:105:110
d31038,,greedy1,R1,0.3,100,3,0.4899,0.4393,0.1352,0.1206,0:109:104
d31038,,greedy1,R2,0.3,104,5,0.4615,0.4304,0.2136,0.1990,83:31:39:105:110
d31038,,greedy1,am,0.4,101,3,0.4825,0.4365,0.1439,0.1300,109:0:84
d31038,,greedy1,hm,0.4,103,5,0.4976,0.4643,0.2136,0.1996,14:105:39:83:110
d31038,,greedy1,R1,0.4,100,3,0.4899,0.4393,0.1352,0.1206,109:0:104
d31038,,greedy1,R2,0.4,102,6,0.4423,0.4117,0.2160,0.2010,83:35:105:31:110:84
d31038,,greedy1,am,0.5,99,4,0.4924,0.4379,0.1990,0.1766,109:14:105:110
d31038,,greedy1,hm,0.5,88,5,0.5194,0.4188,0.2360,0.1905,83:105:35:14:110
d31038,,greedy1,R1,0.5,100,3,0.4899,0.4393,0.1352,0.1206,109:0:104
d31038,,greedy1,R2,0.5,84,5,0.4651,0.3584,0.2382,0.1828,83:35:105:84:31
d31038,,greedy1,am,0.6,103,5,0.4976,0.4643,0.2136,0.1996,83:105:39:14:110
d31038,,greedy1,hm,0.6,43,3,0.6250,0.2467,0.3372,0.1310,83:105:35
d31038,,greedy1,R1,0.6,100,3,0.4899,0.4393,0.1352,0.1206,109:0:104
d31038,,greedy1,R2,0.6,43,3,0.6250,0.2467,0.3314,0.1287,83:35:105
d31038,,greedy1,am,0.8,43,3,0.6250,0.2467,0.3372,0.1310,83:105:35
d31038,,greedy1,hm,0.8,43,3,0.6250,0.2467,0.3314,0.1287,83:35:105
d31038,,greedy1,R1,0.8,74,3,0.5333,0.3601,0.2230,0.1490,109:105:83
d31038,,greedy1,R2,0.8,29,2,0.5887,0.1629,0.3667,0.0987,83:35
d30020,,greedy1,am,0,103,3,0.4091,0.3809,0.1199,0.1113,154:22:124
d30020,,greedy1,hm,0,101,4,0.4184,0.3736,0.1516,0.1348,22:154:81:21
d30020,,greedy1,R1,0,104,3,0.3725,0.3503,0.0833,0.0780,154:14:16
d30020,,greedy1,R2,0,101,4,0.4184,0.3736,0.1516,0.1348,22:154:81:21
d30020,,greedy1,am,0.1,103,3,0.4091,0.3809,0.1199,0.1113,154:22:124
d30020,,greedy1,hm,0.1,101,4,0.4184,0.3736,0.1516,0.1348,22:154:81:21
d30020,,greedy1,R1,0.1,104,4,0.4133,0.3796,0.1211,0.1108,154:83:81:178
d30020,,greedy1,R2,0.1,101,4,0.4184,0.3736,0.1516,0.1348,22:154:81:21
d30020,,greedy1,am,0.2,103,3,0.4091,0.3809,0.1199,0.1113,154:22:124
d30020,,greedy1,hm,0.2,101,4,0.4184,0.3736,0.1516,0.1348,22:154:81:21
d30020,,greedy1,R1,0.2,103,3,0.4075,0.3835,0.1111,0.1046,154:124:98
d30020,,greedy1,R2,0.2,101,4,0.4184,0.3736,0.1516,0.1348,22:154:81:21
d30020,,greedy1,am,0.3,103,3,0.4091,0.3809,0.1199,0.1113,154:22:124
